STATE,DISTRICT,TEHSIL,ID,Fresh,Saline
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,UA,2.44,0
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,DC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,IC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,TC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,TGW,2.44,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,UA,153.3,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,DC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,IC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TGW,153.3,0
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,UA,2159.74,0
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,DC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,IC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,TC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,TGW,2159.74,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,UA,58129.12,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,DC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,IC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TGW,58129.12,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,UA,0,313.56
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,DC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,IC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,TGW,0,313.56
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,UA,80.22,0
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,DC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,IC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,TC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,TGW,80.22,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,UA,89.57,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,DC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,IC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,TC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,TGW,89.57,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,UA,2549.57,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,DC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,IC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,TC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,TGW,2549.57,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,UA,1378.92,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,DC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,IC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,TC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,TGW,1378.92,0
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,UA,734.15,0
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,DC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,IC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,TC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,DSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,ISC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,TSC,0,
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,TGW,734.15,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,MAYABUNDER,UA,410.75,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,MAYABUNDER,DC,0,
